epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,19290.5,0.53233,1.01572,0.66527,0.00746,0.1279,0.63026,0.43785,0.47895,0.41516,0.61665,0.41051,0.44834,0.34444,0.62149,1.55431,1.57916,0.01559,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,19538.7,0.52564,1.0005,0.6548,0.0073,0.1249,0.60122,0.46072,0.48098,0.41675,0.58399,0.43957,0.45325,0.34698,0.62139,1.58373,1.58159,0.01557,0,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,19787.5,0.52129,0.99492,0.64702,0.00717,0.12436,0.59099,0.46993,0.48244,0.41758,0.57101,0.44441,0.45397,0.34725,0.62244,1.56897,1.58966,0.01558,0,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,20036.1,0.52228,0.99487,0.64557,0.00724,0.12393,0.58112,0.48643,0.4862,0.42115,0.55408,0.45636,0.45634,0.34844,0.62338,1.55511,1.59457,0.01557,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,20285,0.52049,0.99541,0.64089,0.0072,0.12148,0.56131,0.4835,0.48928,0.42295,0.5407,0.45756,0.45826,0.34733,0.62036,1.54239,1.60046,0.0155,0,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,20533.9,0.51941,0.99176,0.64092,0.00717,0.12237,0.60695,0.47627,0.49231,0.42559,0.60045,0.45356,0.46373,0.34967,0.62027,1.53915,1.59912,0.01548,0,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,20782.3,0.51543,0.97804,0.62359,0.00706,0.1173,0.63767,0.44784,0.48824,0.42283,0.62047,0.42438,0.45995,0.34851,0.62011,1.56421,1.60198,0.01543,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,21031,0.51399,0.97814,0.62798,0.00711,0.11749,0.60082,0.4578,0.48449,0.41882,0.58162,0.43548,0.45663,0.34541,0.61729,1.58437,1.61009,0.0154,0,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,21279.7,0.51103,0.98481,0.62194,0.00703,0.11658,0.6039,0.45982,0.48836,0.42284,0.58657,0.44025,0.4601,0.34983,0.61916,1.59216,1.61085,0.01551,0,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,21528.7,0.50697,0.97074,0.61344,0.00698,0.11372,0.6091,0.46297,0.49395,0.42838,0.59179,0.44239,0.46343,0.35508,0.6177,1.59743,1.59857,0.01548,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,21777.6,0.50781,0.97651,0.61752,0.00702,0.11371,0.61564,0.45549,0.4903,0.42497,0.61413,0.4306,0.46053,0.35343,0.61273,1.60496,1.60364,0.01539,0,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,22026.2,0.50406,0.96019,0.60919,0.00689,0.11344,0.60336,0.45235,0.48422,0.41961,0.6207,0.42046,0.45745,0.34985,0.60916,1.60492,1.62635,0.01527,0,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,22274.9,0.50248,0.96483,0.59674,0.00687,0.11028,0.60602,0.46178,0.48573,0.42042,0.61267,0.42456,0.45683,0.35005,0.61094,1.60497,1.63365,0.01536,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,22523.9,0.50203,0.95612,0.58766,0.00683,0.10913,0.61165,0.45504,0.48376,0.41858,0.60161,0.43144,0.4544,0.3464,0.60941,1.60891,1.63825,0.01531,0,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,22772.6,0.49802,0.95417,0.58997,0.00681,0.1093,0.58255,0.46576,0.48666,0.42256,0.61038,0.42856,0.45602,0.34747,0.61002,1.60468,1.63496,0.01525,0,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,23021.1,0.49212,0.94496,0.57541,0.00671,0.10671,0.57752,0.47565,0.48787,0.42315,0.63282,0.41537,0.45895,0.34938,0.61284,1.60948,1.63655,0.01536,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,23269.7,0.49226,0.9395,0.57035,0.00668,0.10492,0.58137,0.4658,0.48502,0.42054,0.63874,0.41461,0.4554,0.34627,0.61725,1.60424,1.62982,0.01545,0,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,23518.3,0.49023,0.9408,0.57129,0.00671,0.10601,0.60015,0.45941,0.48606,0.42098,0.58702,0.44103,0.45446,0.34707,0.61763,1.61696,1.6331,0.01547,0,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,23765.7,0.48675,0.93049,0.56352,0.00661,0.10359,0.63969,0.44255,0.49078,0.42438,0.63001,0.42673,0.45819,0.3488,0.61513,1.623,1.63306,0.01538,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,24011.8,0.48753,0.93273,0.55695,0.00668,0.10181,0.61276,0.45239,0.48889,0.42161,0.60176,0.43387,0.45611,0.34766,0.61407,1.62296,1.63878,0.01536,0,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,24246,0.48109,0.92426,0.55313,0.00652,0.10084,0.60241,0.46329,0.48746,0.42098,0.60613,0.43466,0.45534,0.34731,0.61478,1.61485,1.63809,0.01533,0,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,24481,0.47629,0.92135,0.5507,0.00643,0.10066,0.58071,0.47383,0.48861,0.42212,0.59494,0.44274,0.45675,0.34708,0.61464,1.62819,1.63997,0.01532,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
